subarea_name,category_name,room_count,size (sqrt),property_type,price (RM),district_penang,location_penang
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1300.0,Freehold,628000,South West Penang Island,Island
Tanjung Bungah,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,798000,Central Seberang Perai,Mainland
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Batu Kawan,House,4,2290.0,Freehold,900000,South Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,1300.0,Freehold,525000,South West Penang Island,Island
Tanjung Bungah,House,3,2029.0,Freehold,1080000,North East Penang Island,Island
Batu Ferringhi,Apartment / Condominium,3,1022.0,Freehold,399000,North East Penang Island,Island
Greenlane,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Simpang Ampat,House,4,2400.0,Freehold,785000,South Seberang Perai,Mainland
Georgetown,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Seberang Jaya,Apartment / Condominium,3,1010.0,Freehold,399000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,1600.0,Freehold,630000,Central Seberang Perai,Mainland
Bukit Mertajam,Apartment / Condominium,4,2131.0,Freehold,399000,Central Seberang Perai,Mainland
Pulau Tikus,Apartment / Condominium,3,1000.0,Freehold,399000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,1183.0,Freehold,700000,North East Penang Island,Island
Bayan Lepas,House,4,1378.0,Freehold,570000,South West Penang Island,Island
Georgetown,Apartment / Condominium,3,938.0,Freehold,768000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Leasehold,519000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,899000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,980000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,999000,Central Seberang Perai,Mainland
Pulau Tikus,Apartment / Condominium,3,1000.0,Freehold,400000,North East Penang Island,Island
Bayan Baru,House,4,2400.0,Leasehold,770000,South West Penang Island,Island
Tanjung Bungah,Apartment / Condominium,3,938.0,Freehold,490000,North East Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,1582.0,Freehold,1080000,North East Penang Island,Island
Bukit Jambul,Apartment / Condominium,3,1250.0,Freehold,528000,North East Penang Island,Island
Bertam,House,3,2400.0,Freehold,639000,North Seberang Perai,Mainland
Batu Ferringhi,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Alma,House,4,2153.0,Freehold,712500,Central Seberang Perai,Mainland
Pulau Tikus,Apartment / Condominium,4,2400.0,Freehold,1080000,North East Penang Island,Island
Batu Maung,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,418000,North East Penang Island,Island
Batu Maung,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Butterworth,Apartment / Condominium,3,1227.0,Freehold,428000,North Seberang Perai,Mainland
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,1031.0,Freehold,559000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,1050000,Central Seberang Perai,Mainland
Sungai Ara,House,4,1900.0,Freehold,1080000,South West Penang Island,Island
Pulau Tikus,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Georgetown,Apartment / Condominium,4,1464.0,Leasehold,950000,North East Penang Island,Island
Butterworth,House,4,1259.0,Freehold,759000,North Seberang Perai,Mainland
Batu Ferringhi,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Greenlane,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Tanjung Bungah,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Tanjung Bungah,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Batu Kawan,House,4,2379.0,Freehold,1080000,South Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,1100.0,Freehold,450000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Nibong Tebal,House,4,1300.0,Freehold,400000,South Seberang Perai,Mainland
Nibong Tebal,House,4,1399.0,Freehold,505000,South Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,938.0,Freehold,410000,North East Penang Island,Island
Nibong Tebal,House,4,1200.0,Freehold,399000,South Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,400000,North East Penang Island,Island
Bukit Mertajam,Apartment / Condominium,3,938.0,Leasehold,399000,Central Seberang Perai,Mainland
Butterworth,House,3,938.0,Freehold,399000,North Seberang Perai,Mainland
Gelugor,Apartment / Condominium,3,1313.0,Freehold,980000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,4,1258.0,Freehold,580000,South West Penang Island,Island
Tanjung Bungah,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,4,1572.0,Freehold,650000,South West Penang Island,Island
Bukit Mertajam,House,3,1582.0,Freehold,500000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Seberang Jaya,Apartment / Condominium,3,938.0,Leasehold,399000,Central Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,976.0,Freehold,399000,North Seberang Perai,Mainland
Teluk Kumbar,House,4,2335.0,Freehold,1080000,South West Penang Island,Island
Jelutong,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,House,3,1056.0,Freehold,399000,Central Seberang Perai,Mainland
Batu Maung,House,4,1500.0,Freehold,880000,South West Penang Island,Island
Nibong Tebal,House,4,1200.0,Freehold,450000,South Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,1087.0,Freehold,795000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,1100.0,Leasehold,499000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Jelutong,Apartment / Condominium,4,1450.0,Freehold,880000,North East Penang Island,Island
Nibong Tebal,House,4,1420.0,Freehold,399000,South Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,938.0,Leasehold,460000,North East Penang Island,Island
Batu Kawan,Apartment / Condominium,3,938.0,Freehold,399000,South Seberang Perai,Mainland
Pulau Tikus,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Georgetown,House,4,2000.0,Freehold,1080000,North East Penang Island,Island
Nibong Tebal,House,4,2400.0,Freehold,399000,South Seberang Perai,Mainland
Nibong Tebal,House,3,2280.0,Freehold,399000,South Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Batu Kawan,House,4,2379.0,Freehold,900000,South Seberang Perai,Mainland
Nibong Tebal,House,3,2217.0,Freehold,400000,South Seberang Perai,Mainland
Ayer Itam,House,3,938.0,Leasehold,399000,North East Penang Island,Island
Greenlane,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,715000,Central Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Batu Kawan,House,4,1600.0,Freehold,460000,South Seberang Perai,Mainland
Simpang Ampat,House,4,2185.0,Freehold,620000,South Seberang Perai,Mainland
Simpang Ampat,House,4,1600.0,Freehold,478000,South Seberang Perai,Mainland
Georgetown,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Bukit Mertajam,Apartment / Condominium,3,938.0,Freehold,418000,Central Seberang Perai,Mainland
Balik Pulau,House,3,1872.0,Freehold,560000,South West Penang Island,Island
Batu Ferringhi,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,455000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Batu Kawan,House,4,2400.0,Freehold,868000,South Seberang Perai,Mainland
Alma,House,4,2300.0,Freehold,688000,Central Seberang Perai,Mainland
Batu Kawan,House,4,2400.0,Freehold,1080000,South Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,3,938.0,Freehold,490000,North East Penang Island,Island
Georgetown,Apartment / Condominium,3,1003.0,Freehold,720000,North East Penang Island,Island
Relau,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Tanjong Tokong,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Ayer Itam,House,3,2400.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,1034.0,Freehold,530000,North East Penang Island,Island
Ayer Itam,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,1050.0,Freehold,570000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,950.0,Freehold,399000,South West Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,1450.0,Freehold,815000,North East Penang Island,Island
Seberang Jaya,Apartment / Condominium,3,1097.0,Freehold,399000,Central Seberang Perai,Mainland
Nibong Tebal,House,4,2400.0,Freehold,880000,South Seberang Perai,Mainland
Georgetown,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Nibong Tebal,House,4,1400.0,Freehold,399000,South Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bukit Mertajam,House,4,1400.0,Freehold,680000,Central Seberang Perai,Mainland
Georgetown,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,4,1260.0,Leasehold,800000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,1646.0,Freehold,860000,North East Penang Island,Island
Greenlane,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Nibong Tebal,House,3,2300.0,Freehold,399000,South Seberang Perai,Mainland
Nibong Tebal,House,4,2400.0,Freehold,530000,South Seberang Perai,Mainland
Gelugor,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,1182.0,Freehold,560000,South West Penang Island,Island
Gelugor,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Butterworth,House,4,2400.0,Freehold,900000,North Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,1036.0,Freehold,770000,North East Penang Island,Island
Ayer Itam,House,3,1800.0,Freehold,780000,North East Penang Island,Island
Ayer Itam,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,1300.0,Freehold,650000,North East Penang Island,Island
Simpang Ampat,House,4,2400.0,Freehold,680000,South Seberang Perai,Mainland
Simpang Ampat,House,4,1540.0,Freehold,800000,South Seberang Perai,Mainland
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Paya Terubong,Apartment / Condominium,4,1508.0,Freehold,630000,North East Penang Island,Island
Perai,Apartment / Condominium,3,938.0,Freehold,399000,Central Seberang Perai,Mainland
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Ayer Itam,Apartment / Condominium,4,1600.0,Freehold,660000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,570000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,1091.0,Freehold,530000,North East Penang Island,Island
Teluk Kumbar,House,4,2400.0,Freehold,970000,South West Penang Island,Island
Greenlane,Apartment / Condominium,3,938.0,Freehold,420000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,2400.0,Freehold,403000,South West Penang Island,Island
Jelutong,Apartment / Condominium,4,2400.0,Freehold,850000,North East Penang Island,Island
Greenlane,Apartment / Condominium,4,1270.0,Freehold,610000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1172.0,Freehold,750000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1184.0,Leasehold,550000,South West Penang Island,Island
Butterworth,House,4,1302.0,Freehold,620000,North Seberang Perai,Mainland
Simpang Ampat,House,4,2400.0,Freehold,650000,South Seberang Perai,Mainland
Georgetown,Apartment / Condominium,4,2000.0,Freehold,1080000,North East Penang Island,Island
Butterworth,Apartment / Condominium,4,1280.0,Freehold,480000,North Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Batu Uban,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Bukit Mertajam,Apartment / Condominium,4,2180.0,Freehold,845000,Central Seberang Perai,Mainland
Georgetown,Apartment / Condominium,3,938.0,Freehold,420000,North East Penang Island,Island
Greenlane,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,1100.0,Freehold,598000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1080.0,Freehold,545000,South West Penang Island,Island
Butterworth,House,4,2400.0,Freehold,999000,North Seberang Perai,Mainland
Bayan Lepas,House,4,2400.0,Freehold,950000,South West Penang Island,Island
Batu Kawan,House,4,2400.0,Freehold,1080000,South Seberang Perai,Mainland
Batu Kawan,House,4,2380.0,Freehold,1080000,South Seberang Perai,Mainland
Batu Ferringhi,Apartment / Condominium,3,1094.0,Freehold,399000,North East Penang Island,Island
Gelugor,House,3,1400.0,Freehold,880000,North East Penang Island,Island
Butterworth,House,4,1302.0,Freehold,620000,North Seberang Perai,Mainland
Teluk Kumbar,Apartment / Condominium,3,1076.0,Freehold,399000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1000.0,Leasehold,490000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1000.0,Freehold,560000,South West Penang Island,Island
Bukit Jambul,Apartment / Condominium,3,986.0,Leasehold,460000,North East Penang Island,Island
Bukit Jambul,Apartment / Condominium,3,1305.0,Leasehold,480000,North East Penang Island,Island
Ayer Itam,House,4,2000.0,Freehold,998000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,1091.0,Freehold,598000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,1000.0,Freehold,450000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,1034.0,Freehold,580000,North East Penang Island,Island
Bertam,House,3,1540.0,Freehold,399000,North Seberang Perai,Mainland
Bukit Mertajam,Apartment / Condominium,4,1400.0,Freehold,450000,Central Seberang Perai,Mainland
Alma,House,4,1862.0,Freehold,698000,Central Seberang Perai,Mainland
Butterworth,House,4,1205.0,Freehold,620000,North Seberang Perai,Mainland
Alma,House,4,2400.0,Freehold,750000,Central Seberang Perai,Mainland
Kepala Batas,House,3,1400.0,Freehold,399000,North Seberang Perai,Mainland
Greenlane,House,4,1500.0,Freehold,1050000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,750000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Alma,House,4,2400.0,Freehold,978000,Central Seberang Perai,Mainland
Pulau Tikus,House,3,1424.0,Freehold,1080000,North East Penang Island,Island
Pulau Tikus,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,1646.0,Freehold,950000,North East Penang Island,Island
Greenlane,Apartment / Condominium,4,2400.0,Freehold,1080000,North East Penang Island,Island
Ayer Itam,House,3,2400.0,Freehold,1080000,North East Penang Island,Island
Paya Terubong,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Tanjung Bungah,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Batu Ferringhi,Apartment / Condominium,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bertam,House,4,2400.0,Freehold,639000,North Seberang Perai,Mainland
Tanjong Tokong,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Perai,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Seberang Jaya,Apartment / Condominium,3,938.0,Leasehold,399000,Central Seberang Perai,Mainland
Sungai Ara,Apartment / Condominium,3,1095.0,Freehold,620000,South West Penang Island,Island
Georgetown,Apartment / Condominium,3,938.0,Freehold,420000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,520000,North East Penang Island,Island
Bertam,House,4,1292.0,Freehold,399000,North Seberang Perai,Mainland
Bayan Baru,House,3,1000.0,Leasehold,560000,South West Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Batu Maung,House,3,1400.0,Freehold,700000,South West Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Georgetown,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bayan Baru,House,3,1600.0,Freehold,600000,South West Penang Island,Island
Ayer Itam,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Greenlane,Apartment / Condominium,4,1270.0,Freehold,530000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Bukit Jambul,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bayan Lepas,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Sungai Ara,House,4,1680.0,Freehold,950000,South West Penang Island,Island
Batu Maung,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Jelutong,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Greenlane,Apartment / Condominium,3,1200.0,Freehold,590000,North East Penang Island,Island
Paya Terubong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Georgetown,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Gelugor,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Georgetown,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Kepala Batas,House,4,2400.0,Freehold,520000,North Seberang Perai,Mainland
Kepala Batas,House,4,2240.0,Freehold,550000,North Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,818000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,899000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,899000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,880000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2195.0,Freehold,866400,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2238.0,Freehold,828000,Central Seberang Perai,Mainland
Relau,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,540000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1075.0,Freehold,470000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,938.0,Freehold,450000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Leasehold,595000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,1250.0,Leasehold,650000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,973.0,Freehold,660000,South West Penang Island,Island
Batu Uban,Apartment / Condominium,3,938.0,Freehold,480000,North East Penang Island,Island
Simpang Ampat,House,4,2400.0,Freehold,785000,South Seberang Perai,Mainland
Bukit Jambul,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Perai,Apartment / Condominium,3,1100.0,Freehold,425000,Central Seberang Perai,Mainland
Nibong Tebal,House,4,2400.0,Freehold,950000,South Seberang Perai,Mainland
Batu Kawan,House,4,2379.0,Freehold,920000,South Seberang Perai,Mainland
